
[00:00:00.000 --> 00:00:00.120]  
[00:00:00.120 --> 00:00:00.850]   Good
[00:00:00.850 --> 00:00:01.130]   evening
[00:00:01.130 --> 00:00:01.850]   America
[00:00:01.850 --> 00:00:01.980]  .
[00:00:01.980 --> 00:00:02.540]   My
[00:00:02.540 --> 00:00:02.760]   name
[00:00:02.760 --> 00:00:02.960]   is
[00:00:02.960 --> 00:00:03.460]   Katie
[00:00:03.460 --> 00:00:04.000]   Britt
[00:00:04.000 --> 00:00:04.280]   and
[00:00:04.280 --> 00:00:04.320]   I
[00:00:04.320 --> 00:00:04.650]   have
[00:00:04.650 --> 00:00:04.890]   the
[00:00:04.890 --> 00:00:05.300]   honor
[00:00:05.300 --> 00:00:05.460]   of
[00:00:05.460 --> 00:00:06.080]   serving
[00:00:06.080 --> 00:00:06.240]   the
[00:00:06.240 --> 00:00:06.650]   people
[00:00:06.650 --> 00:00:06.780]   of
[00:00:06.780 --> 00:00:07.000]   the
[00:00:07.000 --> 00:00:07.340]   great
[00:00:07.340 --> 00:00:07.660]   state
[00:00:07.660 --> 00:00:07.790]   of
[00:00:07.790 --> 00:00:08.270]   Alabama
[00:00:08.270 --> 00:00:08.470]   and
[00:00:08.470 --> 00:00:08.670]   the
[00:00:08.670 --> 00:00:09.070]   United
[00:00:09.070 --> 00:00:09.480]   States
[00:00:09.480 --> 00:00:09.870]   Senate
[00:00:09.870 --> 00:00:10.790]  .
[00:00:10.790 --> 00:00:11.120]   However
[00:00:11.120 --> 00:00:11.120]  ,
[00:00:11.120 --> 00:00:11.300]   that
[00:00:11.300 --> 00:00:11.840]  's
[00:00:11.840 --> 00:00:12.060]   not
[00:00:12.060 --> 00:00:12.320]   the
[00:00:12.320 --> 00:00:12.620]   job
[00:00:12.620 --> 00:00:13.010]   that
[00:00:13.010 --> 00:00:13.670]   matters
[00:00:13.670 --> 00:00:14.300]   most
[00:00:14.300 --> 00:00:14.420]  .
[00:00:14.420 --> 00:00:14.520]   I
[00:00:14.520 --> 00:00:14.720]   am
[00:00:14.720 --> 00:00:14.850]   a
[00:00:14.850 --> 00:00:15.320]   proud
[00:00:15.320 --> 00:00:15.740]   wife
[00:00:15.740 --> 00:00:16.020]   and
[00:00:16.020 --> 00:00:16.310]   mom
[00:00:16.310 --> 00:00:16.520]   of
[00:00:16.520 --> 00:00:16.860]   two
[00:00:16.860 --> 00:00:17.360]   school
[00:00:17.360 --> 00:00:17.720]   aged
[00:00:17.720 --> 00:00:18.000]   kids
[00:00:18.000 --> 00:00:18.250]  .
[00:00:18.250 --> 00:00:18.810]   My
[00:00:18.810 --> 00:00:19.090]   daughter
[00:00:19.090 --> 00:00:19.920]   Bennett
[00:00:19.920 --> 00:00:19.940]   and
[00:00:19.940 --> 00:00:20.080]   my
[00:00:20.080 --> 00:00:20.330]   son
[00:00:20.330 --> 00:00:20.580]   Rid
[00:00:20.580 --> 00:00:20.660]  g
[00:00:20.660 --> 00:00:21.040]  eway
[00:00:21.040 --> 00:00:21.520]   are
[00:00:21.520 --> 00:00:21.850]   why
[00:00:21.850 --> 00:00:21.990]   I
[00:00:21.990 --> 00:00:22.400]   ran
[00:00:22.400 --> 00:00:22.970]   for
[00:00:22.970 --> 00:00:23.260]   the
[00:00:23.260 --> 00:00:24.030]   Senate
[00:00:24.030 --> 00:00:24.120]  .
[00:00:24.120 --> 00:00:24.120]  
[00:00:24.120 --> 00:00:24.210]   I
[00:00:24.210 --> 00:00:24.990]  'm
[00:00:24.990 --> 00:00:25.070]   worried
[00:00:25.070 --> 00:00:25.510]   about
[00:00:25.510 --> 00:00:26.030]   their
[00:00:26.030 --> 00:00:26.610]   future
[00:00:26.610 --> 00:00:26.890]   and
[00:00:26.890 --> 00:00:27.320]   the
[00:00:27.320 --> 00:00:27.770]   future
[00:00:27.770 --> 00:00:27.970]   of
[00:00:27.970 --> 00:00:28.730]   children
[00:00:28.730 --> 00:00:28.920]   in
[00:00:28.920 --> 00:00:29.400]   every
[00:00:29.400 --> 00:00:30.040]   corner
[00:00:30.040 --> 00:00:30.240]   of
[00:00:30.240 --> 00:00:30.520]   our
[00:00:30.520 --> 00:00:31.120]   nation
[00:00:31.120 --> 00:00:31.710]   and
[00:00:31.710 --> 00:00:31.730]   that
[00:00:31.730 --> 00:00:31.910]  's
[00:00:31.910 --> 00:00:32.190]   why
[00:00:32.190 --> 00:00:32.280]   I
[00:00:32.280 --> 00:00:32.990]   invited
[00:00:32.990 --> 00:00:33.210]   you
[00:00:33.210 --> 00:00:33.580]   into
[00:00:33.580 --> 00:00:33.860]   our
[00:00:33.860 --> 00:00:34.220]   home
[00:00:34.220 --> 00:00:34.760]   tonight
[00:00:34.760 --> 00:00:35.240]  .
[00:00:35.240 --> 00:00:36.070]   Like
[00:00:36.070 --> 00:00:36.100]   so
[00:00:36.100 --> 00:00:36.680]   many
[00:00:36.680 --> 00:00:37.330]   families
[00:00:37.330 --> 00:00:37.830]   across
[00:00:37.830 --> 00:00:38.400]   America
[00:00:38.400 --> 00:00:38.560]  ,
[00:00:38.560 --> 00:00:39.150]   my
[00:00:39.150 --> 00:00:39.290]   husband
[00:00:39.290 --> 00:00:39.780]   Wesley
[00:00:39.780 --> 00:00:40.100]   and
[00:00:40.100 --> 00:00:40.100]   I
[00:00:40.100 --> 00:00:40.430]   just
[00:00:40.430 --> 00:00:41.000]   watched
[00:00:41.000 --> 00:00:41.800]   President
[00:00:41.800 --> 00:00:42.120]   Biden
[00:00:42.120 --> 00:00:42.200]  's
[00:00:42.200 --> 00:00:42.610]   State
[00:00:42.610 --> 00:00:42.770]   of
[00:00:42.770 --> 00:00:43.010]   the
[00:00:43.010 --> 00:00:43.420]   Union
[00:00:43.420 --> 00:00:43.980]   address
[00:00:43.980 --> 00:00:44.310]   from
[00:00:44.310 --> 00:00:44.860]   our
[00:00:44.860 --> 00:00:45.040]   living
[00:00:45.040 --> 00:00:45.360]   room
[00:00:45.360 --> 00:00:45.600]   and
[00:00:45.600 --> 00:00:45.910]   what
[00:00:45.910 --> 00:00:46.080]   we
[00:00:46.080 --> 00:00:46.410]   saw
[00:00:46.410 --> 00:00:46.560]   was
[00:00:46.560 --> 00:00:46.880]   the
[00:00:46.880 --> 00:00:47.970]   performance
[00:00:47.970 --> 00:00:48.120]   of
[00:00:48.120 --> 00:00:48.210]   a
[00:00:48.210 --> 00:00:49.110]   permanent
[00:00:49.110 --> 00:00:50.030]   politician
[00:00:50.030 --> 00:00:50.350]   who
[00:00:50.350 --> 00:00:50.590]   has
[00:00:50.590 --> 00:00:51.350]   actually
[00:00:51.350 --> 00:00:51.760]   been
[00:00:51.760 --> 00:00:51.920]   in
[00:00:51.920 --> 00:00:52.570]   office
[00:00:52.570 --> 00:00:52.840]   for
[00:00:52.840 --> 00:00:53.400]   longer
[00:00:53.400 --> 00:00:53.400]  
[00:00:53.400 --> 00:00:53.810]   than
[00:00:53.810 --> 00:00:53.990]   I
[00:00:53.990 --> 00:00:54.220]  've
[00:00:54.220 --> 00:00:54.560]   been
[00:00:54.560 --> 00:00:55.150]   alive
[00:00:55.150 --> 00:00:55.590]  .
[00:00:55.590 --> 00:00:55.770]   One
[00:00:55.770 --> 00:00:56.280]   thing
[00:00:56.280 --> 00:00:56.600]   was
[00:00:56.600 --> 00:00:57.250]   quite
[00:00:57.250 --> 00:00:57.640]   clear
[00:00:57.640 --> 00:00:58.070]   though
[00:00:58.070 --> 00:00:58.930]  .
[00:00:58.930 --> 00:00:59.400]   President
[00:00:59.400 --> 00:00:59.800]   Biden
[00:00:59.800 --> 00:01:00.200]   just
[00:01:00.200 --> 00:01:00.760]   doesn
[00:01:00.760 --> 00:01:00.980]  't
[00:01:00.980 --> 00:01:01.320]   get
[00:01:01.320 --> 00:01:01.540]   it
[00:01:01.540 --> 00:01:02.080]  .
[00:01:02.080 --> 00:01:02.100]   He
[00:01:02.100 --> 00:01:02.240]  's
[00:01:02.240 --> 00:01:02.750]   out
[00:01:02.750 --> 00:01:02.880]   of
[00:01:02.880 --> 00:01:03.410]   touch
[00:01:03.410 --> 00:01:04.250]  .
[00:01:04.250 --> 00:01:04.340]   Under
[00:01:04.340 --> 00:01:04.790]   his
[00:01:04.790 --> 00:01:05.520]   administration
[00:01:05.520 --> 00:01:06.300]   families
[00:01:06.300 --> 00:01:06.600]   are
[00:01:06.600 --> 00:01:06.840]   worse
[00:01:06.840 --> 00:01:07.150]   off
[00:01:07.150 --> 00:01:07.460]  .
[00:01:07.460 --> 00:01:07.850]   Our
[00:01:07.850 --> 00:01:08.930]   communities
[00:01:08.930 --> 00:01:09.240]   are
[00:01:09.240 --> 00:01:09.650]   less
[00:01:09.650 --> 00:01:10.250]   safe
[00:01:10.250 --> 00:01:10.390]   and
[00:01:10.390 --> 00:01:10.700]   our
[00:01:10.700 --> 00:01:11.440]   country
[00:01:11.440 --> 00:01:11.720]   is
[00:01:11.720 --> 00:01:12.340]   less
[00:01:12.340 --> 00:01:13.080]   secure
[00:01:13.080 --> 00:01:13.560]  .
[00:01:13.560 --> 00:01:14.120]   I
[00:01:14.120 --> 00:01:14.510]   just
[00:01:14.510 --> 00:01:14.800]   wish
[00:01:14.800 --> 00:01:14.980]   he
[00:01:14.980 --> 00:01:15.820]   understood
[00:01:15.820 --> 00:01:16.330]   what
[00:01:16.330 --> 00:01:16.500]   real
[00:01:16.500 --> 00:01:17.180]   families
[00:01:17.180 --> 00:01:17.430]   are
[00:01:17.430 --> 00:01:17.940]   facing
[00:01:17.940 --> 00:01:18.480]   around
[00:01:18.480 --> 00:01:18.970]   kitchen
[00:01:18.970 --> 00:01:19.380]   tables
[00:01:19.380 --> 00:01:19.680]   just
[00:01:19.680 --> 00:01:19.880]   like
[00:01:19.880 --> 00:01:19.880]  
[00:01:19.880 --> 00:01:20.250]   this
[00:01:20.250 --> 00:01:20.460]   one
[00:01:20.460 --> 00:01:20.610]  .
[00:01:20.610 --> 00:01:20.960]   You
[00:01:20.960 --> 00:01:21.480]   know
[00:01:21.480 --> 00:01:21.620]   this
[00:01:21.620 --> 00:01:21.780]   is
[00:01:21.780 --> 00:01:22.190]   where
[00:01:22.190 --> 00:01:22.440]   our
[00:01:22.440 --> 00:01:22.940]   family
[00:01:22.940 --> 00:01:23.190]   has
[00:01:23.190 --> 00:01:23.640]   tough
[00:01:23.640 --> 00:01:24.280]   conversations
[00:01:24.280 --> 00:01:24.440]  .
[00:01:24.440 --> 00:01:24.800]   It
[00:01:24.800 --> 00:01:25.330]  's
[00:01:25.330 --> 00:01:25.400]   where
[00:01:25.400 --> 00:01:25.600]   we
[00:01:25.600 --> 00:01:25.870]   make
[00:01:25.870 --> 00:01:26.160]   hard
[00:01:26.160 --> 00:01:26.780]   decisions
[00:01:26.780 --> 00:01:26.990]  .
[00:01:26.990 --> 00:01:27.140]   It
[00:01:27.140 --> 00:01:27.470]  's
[00:01:27.470 --> 00:01:27.690]   where
[00:01:27.690 --> 00:01:27.770]   we
[00:01:27.770 --> 00:01:28.260]   share
[00:01:28.260 --> 00:01:28.330]   the
[00:01:28.330 --> 00:01:28.630]   good
[00:01:28.630 --> 00:01:28.760]  ,
[00:01:28.760 --> 00:01:28.960]   the
[00:01:28.960 --> 00:01:29.180]   bad
[00:01:29.180 --> 00:01:29.320]  ,
[00:01:29.320 --> 00:01:29.600]   and
[00:01:29.600 --> 00:01:29.880]   the
[00:01:29.880 --> 00:01:30.280]   ugly
[00:01:30.280 --> 00:01:30.610]   of
[00:01:30.610 --> 00:01:30.840]   our
[00:01:30.840 --> 00:01:31.160]   days
[00:01:31.160 --> 00:01:31.370]  .
[00:01:31.370 --> 00:01:31.570]   It
[00:01:31.570 --> 00:01:31.830]  's
[00:01:31.830 --> 00:01:32.140]   where
[00:01:32.140 --> 00:01:32.300]   we
[00:01:32.300 --> 00:01:32.710]   laugh
[00:01:32.710 --> 00:01:33.330]   together
[00:01:33.330 --> 00:01:33.700]   and
[00:01:33.700 --> 00:01:33.770]   it
[00:01:33.770 --> 00:01:34.060]  's
[00:01:34.060 --> 00:01:34.310]   where
[00:01:34.310 --> 00:01:34.460]   we
[00:01:34.460 --> 00:01:34.680]   hold
[00:01:34.680 --> 00:01:34.950]   each
[00:01:34.950 --> 00:01:35.260]   other
[00:01:35.260 --> 00:01:35.360]  's
[00:01:35.360 --> 00:01:35.720]   hands
[00:01:35.720 --> 00:01:36.120]   and
[00:01:36.120 --> 00:01:36.510]   pray
[00:01:36.510 --> 00:01:36.800]   for
[00:01:36.800 --> 00:01:37.090]   God
[00:01:37.090 --> 00:01:37.280]  's
[00:01:37.280 --> 00:01:37.840]   guidance
[00:01:37.840 --> 00:01:38.390]  .
[00:01:38.390 --> 00:01:38.720]   And
[00:01:38.720 --> 00:01:39.040]   many
[00:01:39.040 --> 00:01:39.620]   nights
[00:01:39.620 --> 00:01:39.820]  ,
[00:01:39.820 --> 00:01:40.130]   to
[00:01:40.130 --> 00:01:40.200]   be
[00:01:40.200 --> 00:01:40.770]   honest
[00:01:40.770 --> 00:01:41.080]  ,
[00:01:41.080 --> 00:01:41.290]   it
[00:01:41.290 --> 00:01:41.780]  's
[00:01:41.780 --> 00:01:42.130]   where
[00:01:42.130 --> 00:01:42.720]   Wesley
[00:01:42.720 --> 00:01:42.840]   and
[00:01:42.840 --> 00:01:42.920]   I
[00:01:42.920 --> 00:01:42.920]  
[00:01:42.920 --> 00:01:43.400]   worry
[00:01:43.400 --> 00:01:43.800]  .
[00:01:43.800 --> 00:01:43.920]   I
[00:01:43.920 --> 00:01:44.360]   know
[00:01:44.360 --> 00:01:44.690]   we
[00:01:44.690 --> 00:01:44.910]  're
[00:01:44.910 --> 00:01:45.230]   not
[00:01:45.230 --> 00:01:45.640]   alone
[00:01:45.640 --> 00:01:46.130]   and
[00:01:46.130 --> 00:01:46.610]   so
[00:01:46.610 --> 00:01:47.130]   tonight
[00:01:47.130 --> 00:01:47.460]   the
[00:01:47.460 --> 00:01:48.350]   American
[00:01:48.350 --> 00:01:49.020]   family
[00:01:49.020 --> 00:01:49.580]   needs
[00:01:49.580 --> 00:01:49.880]   to
[00:01:49.880 --> 00:01:50.160]   have
[00:01:50.160 --> 00:01:50.260]   a
[00:01:50.260 --> 00:01:50.750]   tough
