
[00:00:00.000 --> 00:00:01.130]   Good evening
[00:00:01.130 --> 00:00:02.540]   America. My
[00:00:02.540 --> 00:00:03.460]   name is Katie
[00:00:03.460 --> 00:00:04.320]   Britt and I
[00:00:04.320 --> 00:00:05.300]   have the honor
[00:00:05.300 --> 00:00:06.240]   of serving the
[00:00:06.240 --> 00:00:07.000]   people of the
[00:00:07.000 --> 00:00:07.790]   great state of
[00:00:07.790 --> 00:00:08.670]   Alabama and the
[00:00:08.670 --> 00:00:09.480]   United States
[00:00:09.480 --> 00:00:11.120]   Senate. However
[00:00:11.120 --> 00:00:11.120]  ,
[00:00:11.120 --> 00:00:12.320]   that's not the
[00:00:12.320 --> 00:00:13.010]   job that
[00:00:13.010 --> 00:00:14.520]   matters most. I
[00:00:14.520 --> 00:00:15.740]   am a proud wife
[00:00:15.740 --> 00:00:16.860]   and mom of two
[00:00:16.860 --> 00:00:17.360]   school
[00:00:17.360 --> 00:00:18.810]   aged kids. My
[00:00:18.810 --> 00:00:19.090]   daughter
[00:00:19.090 --> 00:00:20.080]   Bennett and my
[00:00:20.080 --> 00:00:21.040]   son Ridgeway
[00:00:21.040 --> 00:00:22.400]   are why I ran
[00:00:22.400 --> 00:00:24.120]   for the Senate.
[00:00:24.120 --> 00:00:25.070]   I'm worried
[00:00:25.070 --> 00:00:26.030]   about their
[00:00:26.030 --> 00:00:27.320]   future and the
[00:00:27.320 --> 00:00:27.970]   future of
[00:00:27.970 --> 00:00:28.920]   children in
[00:00:28.920 --> 00:00:30.240]   every corner of
[00:00:30.240 --> 00:00:31.710]   our nation and
[00:00:31.710 --> 00:00:32.280]   that's why I
[00:00:32.280 --> 00:00:33.210]   invited you
[00:00:33.210 --> 00:00:34.220]   into our home
[00:00:34.220 --> 00:00:36.070]   tonight. Like
[00:00:36.070 --> 00:00:36.680]   so many
[00:00:36.680 --> 00:00:37.830]   families across
[00:00:37.830 --> 00:00:39.150]   America, my
[00:00:39.150 --> 00:00:39.780]   husband Wesley
[00:00:39.780 --> 00:00:40.430]   and I just
[00:00:40.430 --> 00:00:41.000]   watched
[00:00:41.000 --> 00:00:42.120]   President Biden
[00:00:42.120 --> 00:00:42.200]  's
[00:00:42.200 --> 00:00:43.010]   State of the
[00:00:43.010 --> 00:00:43.980]   Union address
[00:00:43.980 --> 00:00:45.040]   from our living
[00:00:45.040 --> 00:00:45.910]   room and what
[00:00:45.910 --> 00:00:46.880]   we saw was the
[00:00:46.880 --> 00:00:48.120]   performance of
[00:00:48.120 --> 00:00:49.110]   a permanent
[00:00:49.110 --> 00:00:50.350]   politician who
[00:00:50.350 --> 00:00:51.350]   has actually
[00:00:51.350 --> 00:00:52.570]   been in office
[00:00:52.570 --> 00:00:53.400]   for longer
[00:00:53.400 --> 00:00:54.560]   than I've been
[00:00:54.560 --> 00:00:55.770]   alive. One
[00:00:55.770 --> 00:00:57.250]   thing was quite
[00:00:57.250 --> 00:00:58.930]   clear though.
[00:00:58.930 --> 00:00:59.800]   President Biden
[00:00:59.800 --> 00:01:00.200]   just
[00:01:00.200 --> 00:01:02.080]   doesn't get it.
[00:01:02.080 --> 00:01:02.880]   He's out of
[00:01:02.880 --> 00:01:04.340]   touch. Under
[00:01:04.340 --> 00:01:04.790]   his
[00:01:04.790 --> 00:01:05.520]   administration
[00:01:05.520 --> 00:01:06.600]   families are
[00:01:06.600 --> 00:01:06.840]   worse
[00:01:06.840 --> 00:01:07.850]   off. Our
[00:01:07.850 --> 00:01:09.240]   communities are
[00:01:09.240 --> 00:01:10.390]   less safe and
[00:01:10.390 --> 00:01:11.720]   our country is
[00:01:11.720 --> 00:01:14.120]   less secure. I
[00:01:14.120 --> 00:01:14.800]   just wish
[00:01:14.800 --> 00:01:15.820]   he understood
[00:01:15.820 --> 00:01:16.500]   what real
[00:01:16.500 --> 00:01:17.430]   families are
[00:01:17.430 --> 00:01:18.480]   facing around
[00:01:18.480 --> 00:01:19.380]   kitchen tables
[00:01:19.380 --> 00:01:19.880]   just like
[00:01:19.880 --> 00:01:20.960]   this one. You
[00:01:20.960 --> 00:01:21.780]   know this is
[00:01:21.780 --> 00:01:22.440]   where our
[00:01:22.440 --> 00:01:23.190]   family has
[00:01:23.190 --> 00:01:23.640]   tough
[00:01:23.640 --> 00:01:24.440]   conversations.
[00:01:24.440 --> 00:01:25.600]   It's where we
[00:01:25.600 --> 00:01:26.160]   make hard
[00:01:26.160 --> 00:01:27.470]   decisions. It's
[00:01:27.470 --> 00:01:28.260]   where we share
[00:01:28.260 --> 00:01:28.960]   the good, the
[00:01:28.960 --> 00:01:29.880]   bad, and the
[00:01:29.880 --> 00:01:30.840]   ugly of our
[00:01:30.840 --> 00:01:31.830]   days. It's
[00:01:31.830 --> 00:01:32.710]   where we laugh
[00:01:32.710 --> 00:01:33.770]   together and it
[00:01:33.770 --> 00:01:34.680]  's where we hold
[00:01:34.680 --> 00:01:35.360]   each other's
[00:01:35.360 --> 00:01:36.120]   hands and
[00:01:36.120 --> 00:01:37.280]   pray for God's
[00:01:37.280 --> 00:01:38.720]   guidance. And
[00:01:38.720 --> 00:01:40.130]   many nights, to
